type	id	parent	name	durationYears
C	Ccb37cbccfdb90774e41356b9	Faf86b50ded1ac0356c78cffe	Licenciado en Higiene y Seguridad Laboral	5
C	Ccb3ddf58660da8fcec67e7af	F40d0a3d769857b07223b248e	Técnico Universitario en Empresas de Servicios Turísticos	3
C	Ccb47bd7a4d6d9ea701d211af	Fea6c855d1d59ae19d938cfd7	Licenciado en Ciencias Ambientales	6
C	Ccb488aedf55c8680cdad6ddc	F45abe262c75505ed05de7271	Licenciado en Geología	5
C	Ccb4f6261510c6de09453d20a	F2a1242a8b332cfd8afe48827	Contador Público	5
C	Ccb5179b1dac04c33a21aca49	Fb12336d1ac22cba283ee29f3	Ingeniero en Informática	5
C	Ccb563f04c0f2b4eb254cfcb5	Ff4c49eda517dbf98443648f2	Tasador Martillero Público y Corredor	3
C	Ccb599a539e79fbdd98ca2ef9	Fb13bc8a432a49434886599c3	Enfermero Universitario	3
C	Ccb60bb2924f2a9b4f0f979f5	F3740ca05b210e8cc29807d8b	Técnico Universitario en Óptica y Contactología	3
C	Ccb658b1818f85bfdccdc8576	F1392c16b807d6730b79a2b71	Licenciado en Ciencias Geológicas	6
C	Ccb6aa7b0a85f7a6fbf1e843f	F9022718f300d20a82511b0f2	Técnico en Administración y Gestión Tributaria - MD	3
C	Ccb6c074461a07920de870927	F232f022ef7947b1b14d63eaf	Técnico Superior en Gestión Ambiental	3
C	Ccb70fdceb855008254d0b703	Fc38b7a5a908a2e7f85df7855	Técnico Universitario en Anestesia	3
C	Ccb83d1b077f6835ccb17738c	F0ad6b1c5c496957db6c76a66	Ingeniero/a Mecánico/a	6
C	Ccb86c3bf44aae15fba417dd7	F0037a93948ed4b480930143b	Profesor/a de Artes en Danza	5
C	Ccb8806f22fbc811ab13fa0ef	F9ed43fbed127668052ac3797	Técnica/o Universitaria/o en Electrónica Digital	4
C	Ccb8899fa13179d3cea5a5eae	Fbb2c2bbf9cb4e4e3a7c8d446	Técnico Universitario en Programación de Videojuegos	3
C	Ccb908e9c8a50a194f220306a	F634acff85c3ffb2d89b42dd4	Licenciado en Administración	4
C	Ccb97e9138e13586805957549	F7f429b8043442761338b930c	Licenciado/a en Hotelería	4
C	Ccb9fee3575d898454295a9c5	F6b63acbaca1e5a495b2d2bf6	Profesor en Química	5
C	Ccbab142ac898226c1f03ee9a	Feaf66d85eda535f31bc4aa38	Profesor de Enseñanza Secundaria, Normal y Especial en Sociología	6
C	Ccbb1ebd6be25fd3dc2f36bc7	Fd570eed3a275c887eb98aef1	Técnico Universitario en Cosmetología Facial y Corporal	3
C	Ccbb329cb23cf28759322d907	F5cb55c77ea1c76803e258663	Técnico en Prevención de Drogadicción	2
C	Ccbcc8c6f59f51fd0e514e677	F1d974fcb9849f321e0b80ce5	Licenciado en Obstetricia	5
C	Ccbd298d32082da0ae78f6799	F5ab4f8ffe6b5ab9594a284e5	Licenciado en Ciencias de la Atmósfera	5
C	Ccbdbeaad8abbae7e8ab7eb69	F789fd4aeeafbd0a3b38f4b3f	Ingeniero/a en Petróleo	6
C	Ccbdf11a9e73c2577e8afea96	Ffa5ec8b31f05c21905c8427f	Técnico Universitario en Cosmetología Facial y Corporal	3
C	Ccbdfec34fdd3c86f80171b32	F8ee22f3d2603e52cfbe486e2	Técnico/a Universitario/a Militar en Telecomunicaciones	2
C	Ccbe11bc2d4e2058ead70f404	Fb9804af5acb45f30aece8ce3	Licenciado/a en Arte Interactivo	4
C	Ccbe5b113119834017380c356	F2a20152219cf4419ce918332	Odontólogo	6
C	Ccbebea263f5185b54f4bc593	F1412b2373cc1bde8dba5f35d	Técnico Universitario en Administración de Empresas de Turismo - MD	2
C	Ccbeeaf764033fab7fd01bebd	F9ff09445d0358e60123fff1b	Profesor de Enseñanza Secundaria y Superior en Filosofía	6
C	Ccbfebfa699f36439041a90b4	Fa872bc3d5dde975ef5f204b3	Analista en Información Gerencial	3
C	Ccc0090f943e2791b5caf6198	F975f57a090eebbfca17288b4	Periodista - MD	3
C	Ccc0744563c469c724fa7ad9e	F9ff09445d0358e60123fff1b	Técnico/a Radiólogo/a Universitario/a	3
C	Ccc0e6dd171d88a47eb4cc320	F55d7b79bf35d3208ea5c4f38	Licenciado en Musicoterapia	5
C	Ccc1c2bf8bb0ffb30e459e04a	F83c5496141be4a6758482732	Analista en Relaciones del Trabajo	3
C	Ccc25b9117d6438d7aa33683b	Fc38b7a5a908a2e7f85df7855	Ingeniero Agrónomo	6
C	Ccc36e5c069ab79d12521dbab	Ffe155a74bdea61a4225ef332	Técnico/a Universitario/a en Comercio Electrónico y Marketing Digital - MD	3
C	Ccc3d672f0102ba1a92592d8a	Fa66e8070e19b324def757887	Técnico Universitario en Instrumentación Quirúrgica	3
C	Ccc423ae8671be43c7ddd3fac	F83c5496141be4a6758482732	Bioquímico/a	6
C	Ccc4741e4484f71e46be21545	Ffe6e799277fe9f5ccb173a30	Técnico/a en Gestión Parlamentaria	2
C	Ccc50468485f7df6eefa52e71	Fda5b4c5a345aba7147eecc6b	Odontólogo	5
C	Ccc542539cb4e9c3c8f9b2d2e	F20d796b66275c8a5b9aa712c	Licenciado en Nutrición	5
C	Ccc55a89e9b882ffaebaff131	F07c6e806880ded39855d987f	Licenciado/a en Administración de Empresas	4
C	Ccc56e64fd302e3e60619f31e	F8b06758e4fc1b07eed8420fb	Técnico/a en Gestión Judicial	2
C	Ccc5a29dcffc35e735dd61727	F742df02a86c17d5ae9c1806c	Licenciado/a en Criminología - MD	4
C	Ccc5e8dcd285aacad78159043	Feaf66d85eda535f31bc4aa38	Diseñador de Indumentaria	5
C	Ccc5ffaa71d3aa0db049c518b	F38a86661cd4e85037d2113fe	Contador Público	4
C	Ccc69a8cfe30bbee6ea1086d0	F9ed43fbed127668052ac3797	Técnica/o Universitaria/o en Gestión Industrial	4
C	Ccc6d832bdda318436587e6cf	Ff6d7715828e3e3ee9078c498	Bachiller Universitario en Agronomía	3
C	Ccc720d804540eb3c6aae8f76	Facdb714e650bcf3fc8bd192f	Profesor de Enseñanza Media y Superior en Relaciones del Trabajo	5
C	Ccc72198a16b4dbf85fc8928c	F795e19cdf49515bbba79d670	Técnico Universitario en Gestión del Agua - Orientación Riego	3
C	Ccc7e7a083d5ee2710918ee04	F0f773ce2a272f93fecec7dab	Licenciado en Nutrición	5
C	Ccc830b583405ea458b2bb0f3	F74ca9e0468044114cc7ff392	Licenciado en Relaciones Internacionales	4
C	Ccc8fce4752a1a97be4da2212	Ff21e173610fc318c8406747f	Técnico en Psicogerontología	3
C	Ccc917b390f1779c3c7421c26	Fead570952055595cc2938cdd	Ingeniero/a en Computación	5
C	Ccc9239270bfef38ce11cb48a	Fe9ee899a661d645357ff3e0f	Profesor/a Universitario/a en Ciencias de la Educación	4
C	Ccc961b12b56ed19d0bfea73f	F85c3b563d515ba978270312e	Licenciado/a en Higiene y Seguridad en el Trabajo	4
C	Ccc99a51055248fa87f468886	F7a81142c9f2b4d2a61ab6475	Licenciado en Tecnología Ambiental	5
C	Ccca433866037c4a4dc61d80f	Fa985c8a5715902e27c7fdbf8	Profesor/a Universitario/a de Lengua Italiana	4
C	Ccca43d7efa6ac0c4508d9617	Fbc92af2f46dd40954162dcd3	Licenciado/a en Gestión de Negocios Digitales	4
C	Cccb5097a92b28ef902eeae44	F0bd7e18b86dcff7bf71b57eb	Ingeniero Mecánico	5
C	Cccbae78dab6f55f98a88dc1d	Fe933fcb5cd4109c157f95c5b	Licenciado en Enfermería	4
C	Cccbba4a5ac10f43c73267570	F5f94acdc279c5707966f8c96	Profesor Universitario en Educación Inicial	4
C	Cccbd1ab7489f0e23bf9b1c3e	Fd15dd301972ec57934f985e3	Diseñador Textil	5
C	Cccbdecdc79cd6baaa4cd580a	F87a6575527c29e52a2b4505e	Enfermera/o Universitaria/o	3
C	Cccbe451ab41bddf475b4a344	F53329f644bc8aa81e53af9f8	Profesor en Letras	5
C	Cccc2d2ac0a6992c84c67c0e0	F23a9b370ade64339f5a08708	Analista Universitario en Comercialización	3
C	Cccc8d0fc17ffc62f585019d3	Fe98c06bce68e0bf23ec452b4	Licenciado/a en Psicopedagogía - MD	4
C	Cccc9de4015b7a2c6a5fc03f2	F70ebcffc462042451b0c5477	Abogado	4
C	Ccccc8d5b77e5f2af03b5e899	Feaf66d85eda535f31bc4aa38	Ingeniero de Alimentos	6
C	Cccd2bbe5f9e9a05fc7b9e4b2	Fc38b7a5a908a2e7f85df7855	Podólogo Universitario	3
C	Cccd4400cc64f5681f845c160	F7b3220ff71fe8f76fd6cc6aa	Diseñador Industrial	6
C	Ccce065c5757cd3bfb921fdaf	Feaf66d85eda535f31bc4aa38	Profesor/a de Enseñanza Secundaria y Superior en Ciencias de la Educación	6
C	Ccce06a987f07b35088568eac	Fd32513a4876c856b0871aac3	Profesor en Lengua y Literatura	4
C	Ccce24674ff3d76a33553e3f6	F70ebcffc462042451b0c5477	Licenciado en Comercialización - Marketing - MD	4
C	Ccce75fed1544999fdee7ef08	Fac21717fee59b846e0bfbe5d	Técnico/a Universitario/a en Práctica Musical Instrumental	2
C	Cccef7500f1d7b64587705461	F168764644837f7eacdc279b1	Profesor de Teatro	4
C	Cccf0f5d10632f14b7bd85681	Fe067f84f1b13d312ca57c425	Licenciado en Producción de Bioimágenes	6
C	Cccf23626a5c583c8234e9d79	F17031982285bcf485e8b3bb6	Profesor de Enseñanza Media y Superior en Bibliotecología y Ciencia de la Información	5
C	Cccf4287c8b2972c0f54de67e	F94dd109225da8b7ada6aeb7b	Licenciado en Administración Agropecuaria	4
C	Cccf9c27503baff16e5335071	F48d26d88718d3e79a118278e	Técnico Universitario en Inspección de Alimentos	3
C	Ccd0110e6c08afba9696721ab	Fd32513a4876c856b0871aac3	Licenciado/a en Enfermería	5
